# sol: 2710.1630
# city_x,city_y
-95.31793,-269.88745
367.93877,259.11909
263.57684,155.80064
475.72209,-295.66803
-311.27646,273.96827
554.54861,48.88359
82.44696,70.57574
365.46960,-429.65669
179.59335,318.99023
398.08752,-96.25772
547.55960,-398.62815
322.95274,441.68566
80.01537,381.32450
-1.96876,185.46063
-327.00235,-36.65127
462.34755,503.21617
-377.71713,-476.72095
-206.39961,153.21557
-314.48825,-242.74172
163.68607,-135.69882
16.59743,-175.49273
107.57925,-505.82585
9.07792,363.31454
536.06011,-28.32077
143.75169,527.53750
232.79974,-120.22564
-41.50468,-368.04791
-156.54342,-69.19116
-237.35661,-45.29137
156.73024,-304.58314
